"id_sensor","time","saddr","mosf1_min","mosf1_avg","mosf2_min","mosf2_avg","mosAD_min","mosAD_avg","jitter_max","jitter_avg","loss_max_mult10","loss_avg_mult10","counter"
801,"2018-05-14 00:06:30",3507482177,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:30",3507482177,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:40",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:06:40",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:06:40",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:50",3227975250,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:50",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:00",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:07:00",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:07:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:10",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:07:10",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:07:10",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:20",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:20",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:07:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:30",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:30",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:07:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:40",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:40",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:07:40",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:50",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:07:50",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:07:50",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:00",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:00",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:08:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:10",845308522,45,45,45,45,45,45,1,1,0,0,1
801,"2018-05-14 00:08:10",2385480452,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:08:10",2385480452,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:10",3227975250,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:08:10",3227975506,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:08:10",3227975506,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:20",845308522,45,45,45,45,45,45,1,1,0,0,1
801,"2018-05-14 00:08:20",1217121659,45,45,45,45,45,45,4,4,0,0,1
802,"2018-05-14 00:08:20",1217121659,45,45,45,45,45,45,4,4,0,0,1
801,"2018-05-14 00:08:20",2385480452,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:08:20",2385480452,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:20",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:08:20",3227975506,45,45,45,45,40,42,0,0,0,0,2
802,"2018-05-14 00:08:20",3227975506,45,45,45,45,41,43,0,0,0,0,2
501,"2018-05-14 00:08:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:30",845308522,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:08:30",1217121659,45,45,45,45,45,45,5,5,0,0,1
802,"2018-05-14 00:08:30",1217121659,45,45,45,45,45,45,5,5,0,0,1
801,"2018-05-14 00:08:30",2385480452,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:08:30",2385480452,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:30",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:08:30",3227975506,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:08:30",3227975506,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:08:40",2385480452,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:08:40",2385480452,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:08:40",3227975250,45,45,45,45,45,45,0,0,0,0,1
