"ID","cdr_ID","calldate","time","SIPrequest_id","SIPresponse_id","SIPresponseNum"
101326597,76102979,"2018-05-01 03:21:59",21816111,1,NULL,NULL
101326598,76102980,"2018-05-01 03:21:59",21815977,1,NULL,NULL
101326599,76102980,"2018-05-01 03:21:59",21815983,1,NULL,NULL
101326600,76102980,"2018-05-01 03:21:59",21818674,1,NULL,NULL
101326601,76102980,"2018-05-01 03:21:59",21818682,1,NULL,NULL
101326602,76102988,"2018-05-01 03:20:51",122585811,1,NULL,NULL
101326603,76102988,"2018-05-01 03:20:51",122585818,1,NULL,NULL
101326604,76102988,"2018-05-01 03:20:51",122586687,1,NULL,NULL
101326605,76102988,"2018-05-01 03:20:51",122586697,1,NULL,NULL
101326606,76102990,"2018-05-01 03:20:53",120470264,1,NULL,NULL
101326607,76102990,"2018-05-01 03:20:53",120470269,1,NULL,NULL
101326608,76102990,"2018-05-01 03:20:53",120471106,1,NULL,NULL
101326609,76102990,"2018-05-01 03:20:53",120471111,1,NULL,NULL
101326610,76102993,"2018-05-01 03:20:51",122585753,1,NULL,NULL
101326611,76102995,"2018-05-01 03:20:53",120467550,1,NULL,NULL
101326612,76103007,"2018-05-01 03:15:34",452869940,1,NULL,NULL
101326613,76103007,"2018-05-01 03:15:34",452869949,1,NULL,NULL
101326614,76103007,"2018-05-01 03:15:34",452870737,1,NULL,NULL
