"cdr_ID","calldate","ip","port","is_caller"
76122990,"2018-05-01 13:49:04",3631984748,9080,1
76122990,"2018-05-01 13:49:04",1654599251,22552,0
76122992,"2018-05-01 13:49:04",1654599251,17834,1
76122992,"2018-05-01 13:49:04",417208698,5038,0
76123215,"2018-05-01 13:49:07",1654599251,21686,1
76123215,"2018-05-01 13:49:07",773050693,57670,0
76122993,"2018-05-01 13:49:08",1654599250,23658,1
76122993,"2018-05-01 13:49:08",2886735014,5144,0
76122997,"2018-05-01 13:49:08",411685143,7230,1
76122997,"2018-05-01 13:49:08",1654599250,19796,0
76123058,"2018-05-01 13:49:12",1654599251,28262,1
76123058,"2018-05-01 13:49:12",417208698,5134,0
76123089,"2018-05-01 13:49:12",411685143,7630,1
76123089,"2018-05-01 13:49:12",1654599251,26108,0
76122906,"2018-05-01 13:49:15",3227975507,30570,1
76122906,"2018-05-01 13:49:15",1611994918,2280,0
76122994,"2018-05-01 13:49:16",3638379076,2278,1
76122994,"2018-05-01 13:49:16",3227975506,29544,0
76123087,"2018-05-01 13:49:22",3227975251,27426,1
76123087,"2018-05-01 13:49:22",3512424079,16468,0
76122986,"2018-05-01 13:49:24",3227975251,23376,0
76123023,"2018-05-01 13:49:24",3227975251,18044,0
76123088,"2018-05-01 13:49:24",3494121764,12438,1
76123088,"2018-05-01 13:49:24",3227975251,25750,0
76122988,"2018-05-01 13:49:25",1654599250,21272,1
76122988,"2018-05-01 13:49:25",175703356,2250,0
76122989,"2018-05-01 13:49:26",1145337701,17136,1
76122989,"2018-05-01 13:49:26",1654599250,26022,0
76122995,"2018-05-01 13:49:31",3232235895,5020,0
76123059,"2018-05-01 13:49:31",3227975507,20120,0
76123090,"2018-05-01 13:49:31",3227975507,20860,0
76123091,"2018-05-01 13:49:31",417208698,5018,1
76123091,"2018-05-01 13:49:31",3227975507,32516,0
76122999,"2018-05-01 13:49:32",1654599250,22918,0
76123220,"2018-05-01 13:49:35",2393257259,5142,1
76123220,"2018-05-01 13:49:35",1654599251,26726,0
76123831,"2018-05-01 13:49:37",1654599251,31574,1
76123831,"2018-05-01 13:49:37",417230089,7370,0
76123832,"2018-05-01 13:49:38",3507478246,11318,1
76123832,"2018-05-01 13:49:38",1654599251,19130,0
76123093,"2018-05-01 13:49:39",3227975507,21712,0
76123543,"2018-05-01 13:49:42",2392989210,5186,1
76123543,"2018-05-01 13:49:42",3227975506,25344,0
76123165,"2018-05-01 13:49:49",1654599251,31330,1
76123165,"2018-05-01 13:49:49",2393098834,5022,0
76123166,"2018-05-01 13:49:49",411685143,7220,1
76123166,"2018-05-01 13:49:49",1654599251,19240,0
76123167,"2018-05-01 13:49:54",1654599251,26380,1
76123167,"2018-05-01 13:49:54",1676539840,5124,0
76123168,"2018-05-01 13:49:54",3631984748,9360,1
76123168,"2018-05-01 13:49:54",1654599251,16928,0
76128450,"2018-05-01 13:50:01",3227975250,28204,1
76128450,"2018-05-01 13:50:01",3345303600,10000,0
76128345,"2018-05-01 13:50:03",3341778438,48152,1
76128345,"2018-05-01 13:50:03",3227975250,32236,0
76123294,"2018-05-01 13:50:05",3227975506,32488,1
76123294,"2018-05-01 13:50:05",2393257259,5038,0
76123394,"2018-05-01 13:50:05",1210508163,18588,1
76123394,"2018-05-01 13:50:05",3227975506,25694,0
76123260,"2018-05-01 13:50:07",3227975251,28020,1
76123260,"2018-05-01 13:50:07",3345303600,16404,0
76123300,"2018-05-01 13:50:09",3227975251,31976,0
76123216,"2018-05-01 13:50:12",0,2282,1
76123216,"2018-05-01 13:50:12",3227975506,25452,0
76123295,"2018-05-01 13:50:17",3227975507,29730,0
76123296,"2018-05-01 13:50:17",3227975507,20692,0
76123214,"2018-05-01 13:50:18",3494121763,20246,0
76123899,"2018-05-01 13:50:19",3227975506,28336,1
76123899,"2018-05-01 13:50:19",3345303600,2232,0
76123343,"2018-05-01 13:50:20",3227975251,32056,1
76123343,"2018-05-01 13:50:20",3640368787,13204,0
76123344,"2018-05-01 13:50:21",3429196812,12930,1
76123344,"2018-05-01 13:50:21",3227975251,32022,0
76123217,"2018-05-01 13:50:22",3227975506,27220,0
